Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Region,State,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Payment Mode
ORD-10001,2024-05-10,2024-05-17,First Class,CUST-723,Kabir Mehta,Corporate,Central,Michigan,Furniture,Bookcases,Corner Bookcase,2829.13,8,0.0,754.25,Debit Card
ORD-10002,2024-08-13,2024-08-18,Standard Class,CUST-192,Ananya Joshi,Corporate,East,Massachusetts,Furniture,Chairs,Executive Chair,826.6,3,0.3,61.24,Debit Card
ORD-10003,2023-01-23,2023-01-24,Second Class,CUST-999,Kiara Joshi,Corporate,South,Georgia,Office Supplies,Labels,Label Roll,635.15,7,0.1,28.37,Debit Card
ORD-10004,2023-12-04,2023-12-06,Standard Class,CUST-270,Tara Chawla,Home Office,West,Nevada,Technology,Machines,3D Printer,9239.68,8,0.2,1424.72,Debit Card
ORD-10005,2022-08-05,2022-08-09,Second Class,CUST-251,Aditya Singh,Consumer,South,Tennessee,Office Supplies,Labels,Label Maker,310.01,8,0.0,81.66,UPI
ORD-10006,2022-08-19,2022-08-21,Standard Class,CUST-654,Tara Iyer,Home Office,East,Massachusetts,Office Supplies,Paper,A4 Paper Ream,571.07,7,0.0,124.71,UPI
ORD-10007,2024-10-25,2024-10-27,Standard Class,CUST-192,Ananya Joshi,Consumer,Central,Ohio,Furniture,Bookcases,Corner Bookcase,285.58,3,0.1,74.9,Cash on Delivery
ORD-10008,2023-06-25,2023-06-29,Standard Class,CUST-783,Ananya Kapoor,Corporate,East,Massachusetts,Office Supplies,Art,Sketch Pad,465.76,9,0.1,118.76,Net Banking
ORD-10009,2022-07-09,2022-07-10,First Class,CUST-603,Rohan Iyer,Corporate,East,New York,Furniture,Chairs,Executive Chair,2992.88,6,0.0,452.78,Credit Card
ORD-10010,2023-03-18,2023-03-22,Second Class,CUST-176,Reyansh Mehta,Corporate,South,Georgia,Technology,Phones,Smartphone X1,97.92,1,0.0,23.53,Cash on Delivery
ORD-10011,2023-12-31,2024-01-06,Standard Class,CUST-885,Diya Khan,Corporate,South,North Carolina,Technology,Accessories,Wireless Mouse,4134.37,5,0.0,1242.75,Cash on Delivery
ORD-10012,2023-10-22,2023-10-26,Standard Class,CUST-911,Kiara Singh,Consumer,Central,Michigan,Office Supplies,Storage,Shelf Unit,54.86,1,0.15,9.91,Debit Card
ORD-10013,2022-09-20,2022-09-24,First Class,CUST-691,Aarav Das,Home Office,South,Georgia,Office Supplies,Binders,View Binder,389.03,5,0.0,104.18,Credit Card
ORD-10014,2023-09-20,2023-09-23,Second Class,CUST-420,Rohan Singh,Corporate,East,Massachusetts,Office Supplies,Storage,Storage Box,115.78,2,0.15,3.16,Credit Card
ORD-10015,2023-02-02,2023-02-07,First Class,CUST-985,Aarav Joshi,Consumer,South,Tennessee,Technology,Accessories,Wireless Mouse,2664.98,11,0.4,-192.07,UPI
ORD-10016,2022-01-27,2022-01-29,First Class,CUST-527,Tara Patel,Corporate,East,New Jersey,Office Supplies,Binders,Ring Binder,221.84,4,0.3,34.65,UPI
ORD-10017,2024-11-26,2024-12-01,Second Class,CUST-265,Aarav Patel,Home Office,East,New Jersey,Technology,Phones,Cordless Phone,1800.71,2,0.15,-19.53,Debit Card
ORD-10018,2022-06-04,2022-06-06,Standard Class,CUST-654,Tara Iyer,Corporate,West,Washington,Office Supplies,Storage,Storage Box,687.14,10,0.3,16.08,Cash on Delivery
ORD-10019,2022-01-20,2022-01-21,Standard Class,CUST-707,Dev Joshi,Consumer,South,Tennessee,Furniture,Bookcases,Corner Bookcase,282.72,2,0.1,43.2,Debit Card
ORD-10020,2023-07-24,2023-07-30,Standard Class,CUST-468,Aarav Khan,Consumer,East,Massachusetts,Office Supplies,Storage,File Cabinet,464.02,5,0.2,-5.42,UPI
ORD-10021,2024-04-02,2024-04-06,Standard Class,CUST-109,Ishaan Joshi,Home Office,South,Florida,Technology,Accessories,Wireless Mouse,11566.72,10,0.2,1605.37,Debit Card
ORD-10022,2023-09-26,2023-09-27,Standard Class,CUST-842,Arjun Nair,Consumer,Central,Illinois,Furniture,Chairs,Folding Chair,733.54,1,0.15,63.0,UPI
ORD-10023,2024-09-23,2024-09-29,Standard Class,CUST-692,Priya Das,Consumer,East,New York,Furniture,Chairs,Mesh Task Chair,716.07,4,0.2,24.27,Cash on Delivery
ORD-10024,2022-01-23,2022-01-25,First Class,CUST-474,Ishaan Rao,Corporate,West,Washington,Furniture,Bookcases,Metal Bookcase,365.6,1,0.3,56.04,UPI
ORD-10025,2024-05-01,2024-05-05,Standard Class,CUST-204,Karan Joshi,Corporate,West,Oregon,Office Supplies,Storage,Shelf Unit,239.76,3,0.0,27.42,Cash on Delivery
ORD-10026,2023-05-14,2023-05-16,Standard Class,CUST-860,Isha Patel,Consumer,Central,Ohio,Office Supplies,Paper,Sticky Notes,533.5,9,0.3,-63.08,Cash on Delivery
ORD-10027,2024-01-31,2024-02-04,Second Class,CUST-441,Tara Reddy,Corporate,West,California,Technology,Phones,Cordless Phone,2222.44,2,0.15,70.18,Credit Card
ORD-10028,2024-05-16,2024-05-17,Same Day,CUST-212,Arjun Mehta,Consumer,West,California,Office Supplies,Binders,View Binder,18.74,3,0.0,2.73,Net Banking
ORD-10029,2024-04-30,2024-05-02,Standard Class,CUST-285,Meera Nair,Consumer,Central,Michigan,Office Supplies,Binders,Clip Binder,75.8,7,0.4,8.25,UPI
ORD-10030,2024-01-03,2024-01-06,Same Day,CUST-579,Diya Iyer,Home Office,Central,Illinois,Office Supplies,Paper,A4 Paper Ream,796.11,8,0.0,60.07,Cash on Delivery
ORD-10031,2023-05-15,2023-05-16,Standard Class,CUST-471,Ishaan Kapoor,Home Office,Central,Ohio,Technology,Machines,3D Printer,2855.88,6,0.1,188.79,Debit Card
ORD-10032,2023-04-21,2023-04-26,Standard Class,CUST-646,Reyansh Singh,Corporate,Central,Texas,Office Supplies,Art,Sketch Pad,264.86,8,0.4,-6.14,Cash on Delivery
ORD-10033,2022-07-22,2022-07-26,Same Day,CUST-104,Vivaan Sharma,Corporate,East,Massachusetts,Technology,Machines,3D Printer,1356.68,1,0.0,182.19,Net Banking
ORD-10034,2023-10-30,2023-11-04,Second Class,CUST-889,Karan Singh,Consumer,South,Georgia,Office Supplies,Paper,Sticky Notes,341.15,4,0.0,100.35,Cash on Delivery
ORD-10035,2024-06-27,2024-07-03,Standard Class,CUST-187,Isha Rao,Home Office,Central,Texas,Office Supplies,Labels,Label Maker,492.71,8,0.1,110.01,Credit Card
ORD-10036,2024-05-02,2024-05-04,Second Class,CUST-877,Isha Singh,Home Office,Central,Texas,Technology,Phones,Smartphone X1,406.14,3,0.15,48.86,UPI
ORD-10037,2024-11-12,2024-11-17,Standard Class,CUST-949,Vivaan Das,Corporate,East,New York,Office Supplies,Labels,Label Roll,63.5,1,0.15,9.24,Debit Card
ORD-10038,2022-09-07,2022-09-09,Second Class,CUST-401,Sara Nair,Corporate,West,Washington,Office Supplies,Binders,View Binder,179.62,11,0.2,20.85,UPI
ORD-10039,2022-04-13,2022-04-19,Second Class,CUST-427,Dev Mehta,Home Office,South,Tennessee,Office Supplies,Paper,Sticky Notes,108.12,3,0.2,5.29,UPI
ORD-10040,2022-03-22,2022-03-27,Standard Class,CUST-998,Isha Gupta,Consumer,East,Massachusetts,Technology,Phones,Smartphone X1,4452.46,5,0.0,940.27,UPI
ORD-10041,2024-06-18,2024-06-22,Standard Class,CUST-330,Zara Kapoor,Home Office,South,Florida,Office Supplies,Labels,Label Roll,995.06,10,0.0,59.25,Cash on Delivery
ORD-10042,2022-08-21,2022-08-25,Standard Class,CUST-382,Vivaan Rao,Consumer,West,Washington,Office Supplies,Labels,Label Maker,756.86,9,0.0,123.51,Net Banking
ORD-10043,2022-01-08,2022-01-09,Standard Class,CUST-915,Priya Khan,Home Office,Central,Texas,Office Supplies,Paper,Printer Paper,14.75,2,0.2,2.93,Net Banking
ORD-10044,2024-03-16,2024-03-19,Second Class,CUST-251,Aditya Singh,Consumer,Central,Ohio,Technology,Copiers,Portable Scanner,156.56,1,0.3,7.53,UPI
ORD-10045,2022-08-21,2022-08-26,Standard Class,CUST-555,Neha Sharma,Corporate,West,Oregon,Technology,Accessories,Webcam,3453.95,3,0.15,115.04,Cash on Delivery
ORD-10046,2023-10-24,2023-10-29,Same Day,CUST-996,Vivaan Iyer,Consumer,West,Washington,Furniture,Bookcases,Metal Bookcase,1530.3,3,0.0,259.17,Net Banking
ORD-10047,2023-10-08,2023-10-14,Standard Class,CUST-427,Dev Mehta,Consumer,East,New Jersey,Office Supplies,Binders,View Binder,486.9,8,0.4,11.34,Net Banking
